id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"shared.header.logo_aria","(vsechny)","Navigace (SiteHeader)","Popisek-obrazku","Vzpomínkář — domů","","aria-label loga v hlavicce — viditelne jen pro cteci"
"shared.nav.jak_to_funguje","(vsechny)","Navigace (SiteHeader/MobileMenu)","Odkaz","Jak to funguje","",""
"shared.nav.cenik","(vsechny)","Navigace (SiteHeader/MobileMenu)","Odkaz","Ceník","",""
"shared.nav.darek","(vsechny)","Navigace (SiteHeader/MobileMenu)","Odkaz","Jako dárek","",""
"shared.nav.faq","(vsechny)","Navigace (SiteHeader/MobileMenu)","Odkaz","Otázky","",""
"shared.nav.o_nas","(vsechny)","Navigace (SiteHeader/MobileMenu)","Odkaz","Náš příběh","",""
"shared.cta.primary_label","(vsechny)","Hlavni CTA (PrimaryCta)","Tlacitko","Založit Vzpomínkář","","vychozi popisek hlavniho zlateho tlacitka; max ~25 znaku (tlacitko)"
"shared.mobile.menu_trigger_aria","(vsechny)","Navigace (HomeMobileMenu)","Popisek-obrazku","Otevřít menu","","aria-label tlacitka pro otevreni mobilniho menu"
"shared.mobile.menu_trigger_label","(vsechny)","Navigace (HomeMobileMenu)","Tlacitko","Menu","",""
"shared.mobile.logo_aria","(vsechny)","Navigace (HomeMobileMenu)","Popisek-obrazku","Vzpomínkář — domů","","aria-label loga v mobilnim menu"
"shared.mobile.close_aria","(vsechny)","Navigace (HomeMobileMenu)","Popisek-obrazku","Zavřít menu","","aria-label tlacitka pro zavreni mobilniho menu"
"shared.mobile.eyebrow_nav","(vsechny)","Navigace (HomeMobileMenu)","Eyebrow","Navigace","",""
"shared.mobile.nav_aria","(vsechny)","Navigace (HomeMobileMenu)","Popisek-obrazku","Hlavní navigace","","aria-label navigacniho bloku v mobilnim menu"
"shared.mobile.eyebrow_actions","(vsechny)","Navigace (HomeMobileMenu)","Eyebrow","Začněte zde","",""
"shared.mobile.login_link","(vsechny)","Navigace (HomeMobileMenu)","Tlacitko","Přihlášení","","odkaz na /login v mobilnim menu"
"shared.footer.slogan","(vsechny)","Patička (SiteFooter)","Nadpis","Staré příběhy, nová generace.","","v kodu zalomeno na dva radky pomoci <br>"
"shared.footer.col1_heading","(vsechny)","Patička (SiteFooter)","Podnadpis","Procházet","",""
"shared.footer.col1_jak","(vsechny)","Patička (SiteFooter)","Odkaz","Jak to funguje","","nasledovano sipkou ↗"
"shared.footer.col1_cenik","(vsechny)","Patička (SiteFooter)","Odkaz","Ceník","","nasledovano sipkou ↗"
"shared.footer.col1_faq","(vsechny)","Patička (SiteFooter)","Odkaz","Časté otázky","","nasledovano sipkou ↗"
"shared.footer.col2_heading","(vsechny)","Patička (SiteFooter)","Podnadpis","Dárek","",""
"shared.footer.col2_darek","(vsechny)","Patička (SiteFooter)","Odkaz","Vzpomínkář jako dárek","","nasledovano sipkou ↗"
"shared.footer.col2_kniha","(vsechny)","Patička (SiteFooter)","Odkaz","Kniha vzpomínek","","nasledovano sipkou ↗"
"shared.footer.col3_heading","(vsechny)","Patička (SiteFooter)","Podnadpis","O nás","",""
"shared.footer.col3_o_nas","(vsechny)","Patička (SiteFooter)","Odkaz","Náš příběh","","nasledovano sipkou ↗"
