id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"home.meta.title","/","Metadata","SEO-titulek","Vzpomínkář — Než zapomenete, jak zněli","","vychozi titulek z root layoutu (app/layout.tsx metadata.title.default); domovska stranka vlastni titulek nenastavuje — SEO titulek, ideal do 60 znaku"
"home.meta.description","/","Metadata","SEO-popis","Zaznamenejte vzpomínky rodičů a prarodičů hlasem nebo písmem a vytvořte z nich tištěnou knihu.","","vychozi popis z root layoutu (app/layout.tsx metadata.description); domovska stranka vlastni popis nenastavuje — SEO popis, ideal do 155 znaku"
"home.hero.eyebrow","/","Hero","Eyebrow","Vzpomínkář — kniha rodinné paměti","","SEO/JSON-LD pozn.: titulek + popis stranky se dedi z root layoutu (na teto strance metadata obsahuji jen canonical)"
"home.hero.h1","/","Hero","Nadpis","Kolik příběhů vašeho blízkého zatím nikdo nezapsal?","",""
"home.hero.lede","/","Hero","Odstavec","Týden po týdnu položíme vašemu blízkému jednu otázku. On odpoví hlasem — a my z toho za rok vyrobíme vázanou knihu, kterou otevřou i vnoučata.","",""
"home.hero.cta","/","Hero","Tlacitko","Začít sbírat vzpomínky","","max ~25 znaku (tlacitko)"
"home.hero.trust","/","Hero","Odstavec","2 890 Kč jednorázově · první tištěná kniha v ceně · přístup k nahrávkám napořád","",""
"home.hero.bgwordmark","/","Hero","Stitek","VZPOMÍNKÁŘ.","","dekorativni wordmark v pozadi (aria-hidden)"
"home.hero.bookstage.alt","/","Hero","Popisek-obrazku","Kniha životních příběhů","","aria-label ilustrace knihy"
"home.hero.book.title","/","Hero","Stitek","Vzpomínkář","","text vyraženy na obalce knihy"
"home.hero.book.year","/","Hero","Stitek","2026","","rok na obalce knihy"
"home.press.label","/","Píší o nás","Eyebrow","Píší o nás","",""
"home.press.logo1","/","Píší o nás","Stitek","Hospodářské noviny","",""
"home.press.logo2","/","Píší o nás","Stitek","Forbes CZ","",""
"home.press.logo3","/","Píší o nás","Stitek","Český rozhlas","",""
"home.press.logo4","/","Píší o nás","Stitek","Heroine","",""
"home.press.logo5","/","Píší o nás","Stitek","Reflex","",""
"home.press.logo6","/","Píší o nás","Stitek","Refresher","",""
"home.how.eyebrow","/","Jak to funguje","Eyebrow","Jak to funguje","",""
"home.how.h2","/","Jak to funguje","Nadpis","Jednoduchý týdenní rituál.","",""
"home.how.step1.label","/","Jak to funguje","Stitek","I.","","cislo kroku"
"home.how.step1.h3","/","Jak to funguje","Podnadpis","Vyberete otázky","",""
"home.how.step1.p","/","Jak to funguje","Odstavec","Z knihovny 200+ otázek vyberete ty, na které by váš blízký rád odpověděl. Můžete přidat i své vlastní — na konkrétní příhodu, kterou si pamatujete.","",""
"home.how.step2.label","/","Jak to funguje","Stitek","II.","","cislo kroku"
"home.how.step2.h3","/","Jak to funguje","Podnadpis","Blízký odpoví","",""
"home.how.step2.p","/","Jak to funguje","Odstavec","Každé pondělí mu přijde e-mail s jednou otázkou. Stiskne velké tlačítko a vypráví — svým tempem, svými slovy. Žádné aplikace, žádná hesla.","",""
"home.how.step3.label","/","Jak to funguje","Stitek","III.","","cislo kroku"
"home.how.step3.h3","/","Jak to funguje","Podnadpis","Uhladíme přepis","",""
"home.how.step3.p","/","Jak to funguje","Odstavec","Hlas převedeme do textu, korektor jemně uhladí věty — zachová slang, dialekt, oblíbená spojení. Vy se na všechno podíváte před tiskem.","",""
"home.how.step4.label","/","Jak to funguje","Stitek","IV.","","cislo kroku"
"home.how.step4.h3","/","Jak to funguje","Podnadpis","Vytiskneme knihu","",""
"home.how.step4.p","/","Jak to funguje","Odstavec","Pevný hřbet, šitá vazba, krémový papír. U každé kapitoly QR kód, který přehraje původní hlas. Kniha přijde v plátěné krabičce.","",""
"home.how.cta.p","/","Jak to funguje","Odstavec","Od první otázky po hotovou knihu — celá cesta v detailech.","",""
"home.how.cta.link","/","Jak to funguje","Odkaz","Celý proces ↗","",""
"home.deck.eyebrow","/","Otázky z knihovny","Eyebrow","Otázky z knihovny","",""
"home.deck.h2","/","Otázky z knihovny","Nadpis","Co všechno nevíte o svých blízkých?","",""
"home.deck.lede","/","Otázky z knihovny","Odstavec","Vyberte si jednu z otázek a zkuste si představit, co byste slyšeli zpátky. V knihovně jich je přes dvě stě — a každá otevírá kapitolu, na kterou by jinak nikdy nepřišla řeč.","",""
"home.deck.q1.cat","/","Otázky z knihovny","Stitek","Dětství","","kategorie ukazkove otazky"
"home.deck.q1","/","Otázky z knihovny","Odstavec","Kde jsi vyrůstal? Popiš mi dům, ve kterém jsi bydlel.","",""
"home.deck.q2.cat","/","Otázky z knihovny","Stitek","Škola","","kategorie ukazkove otazky"
"home.deck.q2","/","Otázky z knihovny","Odstavec","Který učitel na tebe v životě nejvíc zapůsobil — a proč?","",""
"home.deck.q3.cat","/","Otázky z knihovny","Stitek","Vánoce","","kategorie ukazkove otazky"
"home.deck.q3","/","Otázky z knihovny","Odstavec","Jak vypadaly Vánoce u vás doma, když jsi byla malá?","",""
"home.deck.q4.cat","/","Otázky z knihovny","Stitek","Mládí","","kategorie ukazkove otazky"
"home.deck.q4","/","Otázky z knihovny","Odstavec","Jakou hudbu jsi poslouchal, když ti bylo kolem dvaceti?","",""
"home.deck.q5.cat","/","Otázky z knihovny","Stitek","Láska","","kategorie ukazkove otazky"
"home.deck.q5","/","Otázky z knihovny","Odstavec","Jak jste se s mámou seznámili? Vzpomínáš si na první setkání?","",""
"home.deck.q6.cat","/","Otázky z knihovny","Stitek","Rodina","","kategorie ukazkove otazky"
"home.deck.q6","/","Otázky z knihovny","Odstavec","Pamatuješ si na den, kdy se ti narodilo první dítě?","",""
"home.deck.q7.cat","/","Otázky z knihovny","Stitek","Práce","","kategorie ukazkove otazky"
"home.deck.q7","/","Otázky z knihovny","Odstavec","Jaké bylo tvoje první zaměstnání? Jak jsi se k němu dostala?","",""
"home.deck.q8.cat","/","Otázky z knihovny","Stitek","Moudro","","kategorie ukazkove otazky"
"home.deck.q8","/","Otázky z knihovny","Odstavec","Co bys poradila svému dvacetiletému já, kdybys mohla?","",""
"home.product.img.label","/","Produkt","Popisek-obrazku","Kniha životních příběhů — ručně vázaná","",""
"home.product.eyebrow","/","Produkt","Eyebrow","Produkt","",""
"home.product.h2","/","Produkt","Nadpis","Vázaná kniha s hlasem na každé stránce.","",""
"home.product.lede","/","Produkt","Odstavec","Z padesáti hodin vyprávění vznikne kniha, kterou udržíte v rukou. A u každé kapitoly hlas, který ji vyprávěl.","",""
"home.product.feat1","/","Produkt","Odrazka","Padesát dva otázek, jedna za týden","",""
"home.product.feat2","/","Produkt","Odrazka","Online knihovna pro celou rodinu, napořád","",""
"home.product.feat3","/","Produkt","Odrazka","Nahrávání z mobilu, počítače nebo tabletu","",""
"home.product.feat4","/","Produkt","Odrazka","QR u každé kapitoly otevírá nahrávku","",""
"home.product.feat5","/","Produkt","Odrazka","Vlastní kopie nahrávek navždy","",""
"home.product.feat6","/","Produkt","Odrazka","Sourozenci a vnoučata se mohou připojit","",""
"home.product.meta.stars","/","Produkt","Stitek","★★★★★","","vizualni hodnoceni hvezdickami"
"home.product.meta.text","/","Produkt","Stitek","Stovky rodin po celé republice","",""
"home.forbes.eyebrow","/","Forbes citace","Eyebrow","Píše o nás Forbes CZ","",""
"home.forbes.quote","/","Forbes citace","Citace","„Vzpomínkář je nejlepší dárek, na který jsme letos narazili.”","",""
"home.forbes.attr","/","Forbes citace","Atribuce","— Forbes CZ, podzim 2026","",""
"home.forbes.t1.title","/","Forbes citace","Podnadpis","Z povinnosti se stal rituál","","testimonial v karuselu"
"home.forbes.t1.quote","/","Forbes citace","Citace","„Táta se těší na sobotní otázku jako na seriál. Vařím kafe a poslouchám, jak vypráví o vojně v Olomouci.”","",""
"home.forbes.t1.author","/","Forbes citace","Atribuce","Pavla W., dcera","",""
"home.forbes.t2.title","/","Forbes citace","Podnadpis","Hodiny jejího hlasu","","testimonial v karuselu"
"home.forbes.t2.quote","/","Forbes citace","Citace","„Babička loni odešla. Neměla jsem po ní jediný záznam. Dneska mám hodiny — a knihu, kterou děti otevřou kdykoliv.”","",""
"home.forbes.t2.author","/","Forbes citace","Atribuce","Jana M., dcera","",""
"home.forbes.t3.title","/","Forbes citace","Podnadpis","Pohádka místo pohádky","","testimonial v karuselu"
"home.forbes.t3.quote","/","Forbes citace","Citace","„Holky si pouští babiččin hlas na dobrou noc. Vyprávění o tom, jak se v padesátých letech bruslilo na Lužánkách.”","",""
"home.forbes.t3.author","/","Forbes citace","Atribuce","Marie V., matka dvou dcer","",""
"home.qr.eyebrow","/","Hlas v knize","Eyebrow","Hlas v knize","",""
"home.qr.h2","/","Hlas v knize","Nadpis","Jejich hlas. Na každé stránce.","",""
"home.qr.lede","/","Hlas v knize","Odstavec","U každé kapitoly malý QR kód. Naskenujete telefonem a slyšíte je tak, jak to vyprávěli — přízvuk, pauzy, smích uprostřed věty.","",""
"home.qr.book.ch4.eyebrow","/","Hlas v knize","Stitek","Kapitola 4","","ukazka v maketě knihy"
"home.qr.book.ch4.h4","/","Hlas v knize","Podnadpis","První vzpomínky z dětství","",""
"home.qr.book.ch5.eyebrow","/","Hlas v knize","Stitek","Kapitola 5","","ukazka v maketě knihy"
"home.qr.book.ch5.h4","/","Hlas v knize","Podnadpis","Když přišla zima","",""
"home.qr.book.scan","/","Hlas v knize","Stitek","Skenovat","","popisek u QR kodu"
"home.qr.phone.label","/","Hlas v knize","Stitek","Moje první láska","","popisek na maketě telefonu"
"home.qr.phone.time","/","Hlas v knize","Stitek","3:42","","cas nahravky na maketě telefonu"
"home.qr.cta.link","/","Hlas v knize","Odkaz","Podívat se dovnitř knihy ↗","",""
"home.gallery.eyebrow","/","Co píší rodiny","Eyebrow","Co píší rodiny","",""
"home.gallery.h2","/","Co píší rodiny","Nadpis","Padesát let paměti, konečně pevně svázáno.","",""
