id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"kniha.meta.title","/kniha","Metadata","SEO-titulek","Kniha vzpomínek — vyplňovací kniha jako dárek","","SEO titulek — ideal do 60 znaku"
"kniha.meta.description","/kniha","Metadata","SEO-popis","Klasická tištěná kniha s otázkami napříč šesti životními obdobími. Darujete ji blízkému, on ji vlastní rukou vyplní — a vznikne rodinná kronika jeho slovy. Otázky si můžete sami sestavit.","","SEO popis — ideal do 155 znaku (soucasny text je delsi)"
"kniha.sticky.cta","/kniha","Sticky lišta","Tlacitko","Sestavit vlastní knihu","","max ~25 znaku (tlacitko)"
"kniha.sticky.note","/kniha","Sticky lišta","Poznamka","Jednorázově, poštovné zdarma.","",""
"kniha.hero.eyebrow","/kniha","Hero","Eyebrow","Kniha vzpomínek — vyplňovací kniha","",""
"kniha.hero.h1","/kniha","Hero","Nadpis","Kniha, do které blízký vlastní rukou napíše svůj život.","",""
"kniha.hero.lede","/kniha","Hero","Odstavec","Klasická tištěná kniha s otázkami napříč šesti životními obdobími. Darujete ji rodiči nebo prarodiči, oni ji v klidu vyplní — a vy získáte rodinnou kroniku jejich slovy. Otázky si můžete sami sestavit.","",""
"kniha.hero.cta","/kniha","Hero","Tlacitko","Sestavit vlastní knihu","","max ~25 znaku (tlacitko)"
"kniha.hero.stage_alt","/kniha","Hero — knižní scéna","Popisek-obrazku","Kniha vzpomínek","","aria-label ilustrace knihy"
"kniha.hero.handwriting","/kniha","Hero — knižní scéna","Citace","Narodila jsem se v zimě roku 1948 v malém domku na kraji vesnice. Pamatuju si vůni chleba, který maminka pekla každou sobotu, a jak jsme s bratrem běhali bosi po louce za stodolou…","","ukazkovy rukopis (dekorativni)"
"kniha.hero.cover_eyebrow","/kniha","Hero — obálka knihy","Eyebrow","Kniha vzpomínek","",""
"kniha.hero.cover_title","/kniha","Hero — obálka knihy","Nadpis","Zajímá mě tvůj příběh.","",""
