id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"jaktofunguje.meta.title","/jak-to-funguje","Metadata","SEO-titulek","Jak to funguje","","SEO titulek — ideal do 60 znaku"
"jaktofunguje.meta.description","/jak-to-funguje","Metadata","SEO-popis","Čtyři kroky od přihlášení k tištěné knize. Týdenní otázka, jednoduchá odpověď hlasem nebo textem, automatický přepis a rodinná knihovna.","","SEO popis — ideal do 155 znaku"
"jaktofunguje.hero.eyebrow","/jak-to-funguje","Hero","Eyebrow","Jak to funguje","",""
"jaktofunguje.hero.h1","/jak-to-funguje","Hero","Nadpis","Čtyři kroky od otázky ke knize.","",""
"jaktofunguje.hero.lede","/jak-to-funguje","Hero","Odstavec","Vy vyberete otázky. Rodič odpoví hlasem nebo textem. My všechno vyhladíme. Z toho vznikne kniha, kterou držíte v ruce.","",""
"jaktofunguje.hero.cta","/jak-to-funguje","Hero","Tlacitko","Založit Vzpomínkář","","vychozi label PrimaryCta; max ~25 znaku (tlacitko)"
"jaktofunguje.steps.eyebrow","/jak-to-funguje","Čtyři kroky","Eyebrow","Čtyři kroky","",""
"jaktofunguje.steps.h2","/jak-to-funguje","Čtyři kroky","Nadpis","Od první otázky po hotovou knihu.","",""
"jaktofunguje.steps.lede","/jak-to-funguje","Čtyři kroky","Odstavec","Vy řešíte jen výběr otázek. Posílání, přepis, sazba i tisk jsou na nás.","",""
"jaktofunguje.step1.label","/jak-to-funguje","Krok I","Stitek","Týden 1","",""
"jaktofunguje.step1.title","/jak-to-funguje","Krok I","Nadpis","Vyberete otázky","",""
"jaktofunguje.step1.body","/jak-to-funguje","Krok I","Odstavec","Z knihovny 200+ otázek vyberete ty, na které by rodič rád odpověděl. Můžete přidat i vlastní — třeba na konkrétní příhodu, kterou si pamatujete z dětství.","",""
"jaktofunguje.step1.aside","/jak-to-funguje","Krok I","Odstavec","Otázky jsou rozdělené do osmi témat (dětství, rodiče, mládí, láska, práce, výchova, místa, životní moudro). Vy zvolíte tempo.","",""
"jaktofunguje.step2.label","/jak-to-funguje","Krok II","Stitek","Každé pondělí","",""
"jaktofunguje.step2.title","/jak-to-funguje","Krok II","Nadpis","Rodič dostane jednu otázku","",""
"jaktofunguje.step2.body","/jak-to-funguje","Krok II","Odstavec","Otázka přijde e-mailem. Jedno kliknutí spustí nahrávání. Pokud rodič raději píše, odpoví textem.","",""
"jaktofunguje.step2.aside","/jak-to-funguje","Krok II","Odstavec","Žádné účty, žádné aplikace, žádné stahování. Cílem je, aby maminka u sedmdesátky neřešila techniku — jen vyprávěla.","",""
"jaktofunguje.step3.label","/jak-to-funguje","Krok III","Stitek","Do 48 hodin","",""
"jaktofunguje.step3.title","/jak-to-funguje","Krok III","Nadpis","Přepíšeme a vyhladíme","",""
"jaktofunguje.step3.body","/jak-to-funguje","Krok III","Odstavec","Hlasovou nahrávku převedeme do textu. Korektor přečte, vyhladí věty, ale ponechá způsob, jakým to rodič řekl. Slang, dialekt, oblíbená spojení zůstanou — to je přece to, kvůli čemu si knihu jednou otevřete.","",""
"jaktofunguje.step3.aside","/jak-to-funguje","Krok III","Odstavec","Pod každou kapitolou v knize bude QR kód, který spustí původní hlas. Aby zůstal i ten zvuk, ne jen slova.","",""
"jaktofunguje.step4.label","/jak-to-funguje","Krok IV","Stitek","Když je vzpomínek dost","",""
"jaktofunguje.step4.title","/jak-to-funguje","Krok IV","Nadpis","Vytisknete knihu","",""
"jaktofunguje.step4.body","/jak-to-funguje","Krok IV","Odstavec","Online náhled vám ukáže přesné rozložení stránek, sazbu i fotky. Když je vše tak, jak chcete, kliknete na „Objednat tisk“. Kniha přijde za 2–3 týdny — tvrdé desky, šitá vazba, krémový papír.","",""
"jaktofunguje.step4.aside","/jak-to-funguje","Krok IV","Odstavec","První tištěná kniha je v ceně — objednáte ji, až bude hotová. Online přístup do knihovny vám zůstává navždy, i kdyby k tisku nikdy nedošlo.","",""
"jaktofunguje.quote.eyebrow","/jak-to-funguje","Citace","Eyebrow","Z dopisů, které nám chodí","",""
"jaktofunguje.quote.text","/jak-to-funguje","Citace","Citace","„Maminka první pondělí odpověděla z čistého pocitu povinnosti. Třetí pondělí už čekala telefonem v ruce, kdy otázka přijde.“","",""
"jaktofunguje.quote.attr","/jak-to-funguje","Citace","Atribuce","— Lucie, 47 let, Plzeň","",""
"jaktofunguje.deck.eyebrow","/jak-to-funguje","Otázky z knihovny","Eyebrow","Otázky z knihovny","",""
"jaktofunguje.deck.h2","/jak-to-funguje","Otázky z knihovny","Nadpis","Osm z dvou set otázek, které pondělky otevírají.","",""
"jaktofunguje.deck.lede","/jak-to-funguje","Otázky z knihovny","Odstavec","Listujte. Pokaždé jedna otázka, jedna kapitola příběhu, kterou jste možná nikdy neslyšeli.","",""
"jaktofunguje.deck.q1.cat","/jak-to-funguje","Otázky z knihovny","Stitek","Dětství","",""
"jaktofunguje.deck.q1.text","/jak-to-funguje","Otázky z knihovny","Citace","Kde jsi vyrůstal? Popiš mi dům, ve kterém jsi bydlel.","","ukazka otazky; tyka se seniorovi (tykani)"
"jaktofunguje.deck.q2.cat","/jak-to-funguje","Otázky z knihovny","Stitek","Škola","",""
"jaktofunguje.deck.q2.text","/jak-to-funguje","Otázky z knihovny","Citace","Který učitel na tebe v životě nejvíc zapůsobil — a proč?","","ukazka otazky; tyka se seniorovi (tykani)"
"jaktofunguje.deck.q3.cat","/jak-to-funguje","Otázky z knihovny","Stitek","Vánoce","",""
"jaktofunguje.deck.q3.text","/jak-to-funguje","Otázky z knihovny","Citace","Jak vypadaly Vánoce u vás doma, když jsi byla malá?","","ukazka otazky; tyka se seniorovi (tykani)"
"jaktofunguje.deck.q4.cat","/jak-to-funguje","Otázky z knihovny","Stitek","Mládí","",""
"jaktofunguje.deck.q4.text","/jak-to-funguje","Otázky z knihovny","Citace","Jakou hudbu jsi poslouchal, když ti bylo kolem dvaceti?","","ukazka otazky; tyka se seniorovi (tykani)"
"jaktofunguje.deck.q5.cat","/jak-to-funguje","Otázky z knihovny","Stitek","Láska","",""
"jaktofunguje.deck.q5.text","/jak-to-funguje","Otázky z knihovny","Citace","Jak jste se s mámou seznámili? Vzpomínáš si na první setkání?","","ukazka otazky; tyka se seniorovi (tykani)"
"jaktofunguje.deck.q6.cat","/jak-to-funguje","Otázky z knihovny","Stitek","Rodina","",""
"jaktofunguje.deck.q6.text","/jak-to-funguje","Otázky z knihovny","Citace","Pamatuješ si na den, kdy se ti narodilo první dítě?","","ukazka otazky; tyka se seniorovi (tykani)"
"jaktofunguje.deck.q7.cat","/jak-to-funguje","Otázky z knihovny","Stitek","Práce","",""
"jaktofunguje.deck.q7.text","/jak-to-funguje","Otázky z knihovny","Citace","Jaké bylo tvoje první zaměstnání? Jak jsi se k němu dostala?","","ukazka otazky; tyka se seniorovi (tykani)"
"jaktofunguje.deck.q8.cat","/jak-to-funguje","Otázky z knihovny","Stitek","Moudro","",""
