id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"onas.meta.title","/o-nas","Metadata","SEO-titulek","Náš příběh","","SEO titulek — ideal do 60 znaku"
"onas.meta.description","/o-nas","Metadata","SEO-popis","Vzpomínkář založila parta lidí v Praze, kteří přišli o svoje babičky dřív, než stihli zaznamenat jejich příběhy. Nechceme, aby to znovu potkalo jinou rodinu.","","SEO popis — ideal do 155 znaku"
"onas.hero.eyebrow","/o-nas","Hero","Eyebrow","Náš příběh","",""
"onas.hero.h1","/o-nas","Hero","Nadpis","Pomalá kniha jednoho života.","",""
"onas.hero.lede","/o-nas","Hero","Odstavec","Vzpomínkář dělá v Praze parta lidí, kteří přišli o svoje babičky dřív, než stihli zaznamenat jejich příběhy. Nechceme, aby to znovu potkalo jinou rodinu.","",""
"onas.founder.eyebrow","/o-nas","Slovo zakladatele","Eyebrow","Slovo zakladatele","",""
"onas.founder.h2","/o-nas","Slovo zakladatele","Nadpis","Proč jsme to vůbec začali dělat.","",""
"onas.founder.p1","/o-nas","Slovo zakladatele","Odstavec","Babička Anna mi v devíti vyprávěla, jak ve čtyřicátém pátém přešla pěšky z Berouna do Plzně. Ve dvanácti to vyprávěla znovu, jen jinak. V sedmnácti už mě to nezajímalo — pak jsem odjel studovat a vrátil se za třináct let. Tehdy mě poprosila, ať si zapamatuju, jak se jmenovala kočka, kterou měla jako holka. Slíbil jsem to. Jenže jsem si nezapamatoval ani jméno kočky, ani cestu z Berouna.","",""
"onas.founder.p2","/o-nas","Slovo zakladatele","Odstavec","Když umřela, zůstaly nám tři fotky a krabice s pohlednicemi od příbuzných, které nikdo neznal. Žádné nahrávky. Žádný rukopis. Žádný způsob, jak její vyprávění vrátit.","",""
"onas.founder.p3","/o-nas","Slovo zakladatele","Odstavec","Vzpomínkář jsme rozjeli proto, aby ostatním rodinám nezůstaly jen tři fotky. Aby vzpomínky, které dnes večer otec vypráví u stolu, byly za rok napsané. A za deset let pořád slyšitelné.","",""
"onas.founder.signature","/o-nas","Slovo zakladatele","Atribuce","Jakub","",""
"onas.founder.author.name","/o-nas","Slovo zakladatele","Atribuce","Jakub Š.","",""
"onas.founder.author.role","/o-nas","Slovo zakladatele","Atribuce","Zakladatel, Vzpomínkář","",""
"onas.pullquote.quote","/o-nas","Pull quote","Citace","Vzpomínky mizí dřív, než si jich všimneme.","",""
"onas.values.eyebrow","/o-nas","Čím se řídíme","Eyebrow","Čím se řídíme","",""
"onas.values.h2","/o-nas","Čím se řídíme","Nadpis","Čtyři pravidla, kterých se držíme.","",""
"onas.values.lede","/o-nas","Čím se řídíme","Odstavec","Žádné porady o hodnotách, žádné nástěnky. Jen tohle, dokud fungujeme.","",""
"onas.values.item1.h","/o-nas","Čím se řídíme","Podnadpis","Pomalu, ale dotaženě","",""
"onas.values.item1.body","/o-nas","Čím se řídíme","Odstavec","Nevyrábíme knihu jako rychlou aplikaci. Jedna otázka týdně, jedna kapitola měsíčně, jedna kniha za rok. Pomalost není pomalost — je to způsob, jak se vyprávění dostane do hloubky.","",""
"onas.values.item2.h","/o-nas","Čím se řídíme","Podnadpis","Hlas zůstává jeho","",""
"onas.values.item2.body","/o-nas","Čím se řídíme","Odstavec","Přepis vyhladíme, ale slang, dialekt, oblíbená slova a pauzy zůstanou. Pod každou kapitolou v knize bude QR kód s původním hlasem — protože to je to, kvůli čemu si knihu jednou otevřete.","",""
"onas.values.item3.h","/o-nas","Čím se řídíme","Podnadpis","Žádné předplatné, žádný tlak","",""
"onas.values.item3.body","/o-nas","Čím se řídíme","Odstavec","Jedna roční platba, jedna kniha. Nepoužíváme dark patterns, abychom vás přemluvili k vyšší úrovni. Tisk si objednáte, až vy uznáte, že je čas.","",""
"onas.values.item4.h","/o-nas","Čím se řídíme","Podnadpis","Vzpomínky jsou vaše","",""
"onas.values.item4.body","/o-nas","Čím se řídíme","Odstavec","Data patří rodině, ne nám. Kdykoliv si je můžete stáhnout nebo nechat smazat. Žádné AI tréninky, žádné prodávání třetím stranám. Garance v podmínkách, ne jen v marketingu.","",""
"onas.team.eyebrow","/o-nas","Lidé za knihou","Eyebrow","Lidé za knihou","",""
"onas.team.quote","/o-nas","Lidé za knihou","Citace","Malá parta. Velký důraz na detail.","",""
"onas.team.attr","/o-nas","Lidé za knihou","Atribuce","— Praha, Smíchov","",""
"onas.team.person1.name","/o-nas","Lidé za knihou","Atribuce","Jakub Š.","",""
"onas.team.person1.quote","/o-nas","Lidé za knihou","Citace","Když mi v devadesáti zemřela babička, zůstaly nám tři fotky a krabice s pohlednicemi. Vzpomínkář jsme stvořili, abychom neopakovali stejnou chybu u svých rodičů.","",""
"onas.team.person1.role","/o-nas","Lidé za knihou","Atribuce","Zakladatel · produkt","",""
"onas.team.person2.name","/o-nas","Lidé za knihou","Atribuce","Tereza M.","",""
"onas.team.person2.quote","/o-nas","Lidé za knihou","Citace","Přepis nikdy nevyhladím tak, aby z toho zmizel ten člověk. Pauza, kterou udělá, je často důležitější než slovo, které řekne potom.","",""
"onas.team.person2.role","/o-nas","Lidé za knihou","Atribuce","Korektura a sazba","",""
"onas.team.person3.name","/o-nas","Lidé za knihou","Atribuce","Marek H.","",""
"onas.team.person3.quote","/o-nas","Lidé za knihou","Citace","Vážeme ručně v malé tiskárně na Smíchově. Naše babičky by stejně nepoznaly knihu, která by byla vyrobená jinde než ručně.","",""
