id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"kontakt.meta.title","/kontakt","Metadata","SEO-titulek","Kontakt","","SEO titulek — ideal do 60 znaku"
"kontakt.meta.description","/kontakt","Metadata","SEO-popis","Napište nám e-mailem na ahoj@vzpominkar.cz. Odpovídá člověk, ne robot. Telefonní podporu připravujeme.","","SEO popis — ideal do 155 znaku"
"kontakt.hero.eyebrow","/kontakt","Hero","Eyebrow","Kontakt","",""
"kontakt.hero.h1","/kontakt","Hero","Nadpis","Napište. Odpoví člověk.","",""
"kontakt.hero.lede","/kontakt","Hero","Odstavec","Odpovídá vám člověk z malé pražské party, ne chatbot. A ano, čteme každou zprávu — i tu, která začíná „Vaše stránka se mi nelíbí, protože…“.","",""
"kontakt.hero.cta","/kontakt","Hero","Tlacitko","Napsat na ahoj@vzpominkar.cz ↗","",""
"kontakt.channel1.eyebrow","/kontakt","Kanály","Eyebrow","Nejrychlejší","",""
"kontakt.channel1.label","/kontakt","Kanály","Nadpis","E-mail","",""
"kontakt.channel1.value","/kontakt","Kanály","Odkaz","ahoj@vzpominkar.cz","",""
"kontakt.channel1.body","/kontakt","Kanály","Odstavec","Odpovídáme do jednoho pracovního dne, většinou do hodiny. Hodí se na konkrétní dotaz k účtu nebo objednávce.","",""
"kontakt.channel2.eyebrow","/kontakt","Kanály","Eyebrow","Po telefonu","",""
"kontakt.channel2.label","/kontakt","Kanály","Nadpis","Telefon","",""
"kontakt.channel2.value","/kontakt","Kanály","Stitek","Telefonní podpora — připravujeme","","placeholder: realne tel. cislo bude doplneno po spusteni linky"
"kontakt.channel2.body","/kontakt","Kanály","Odstavec","Telefonní linku spouštíme krátce po pilotu. Mezitím napište e-mailem — odpovídáme do hodiny v pracovní době.","",""
"kontakt.channel3.eyebrow","/kontakt","Kanály","Eyebrow","Osobně","",""
"kontakt.channel3.label","/kontakt","Kanály","Nadpis","Sídlo","",""
"kontakt.channel3.value","/kontakt","Kanály","Stitek","Adresa — připravujeme","","placeholder: realna adresa sidla bude doplnena pred spustenim placene verze"
"kontakt.channel3.body","/kontakt","Kanály","Odstavec","Adresu redakce zveřejníme s ostrým spuštěním. Pokud nás potřebujete potkat dřív, napište a domluvíme se.","",""
"kontakt.channel4.eyebrow","/kontakt","Kanály","Eyebrow","Fakturace","",""
"kontakt.channel4.label","/kontakt","Kanály","Nadpis","Firemní údaje","",""
"kontakt.channel4.value","/kontakt","Kanály","Stitek","IČO a DIČ — připravujeme","","placeholder: ICO, DIC a fakturacni adresa budou doplneny po zapisu s.r.o."
"kontakt.channel4.body","/kontakt","Kanály","Odstavec","Po dokončení zápisu do obchodního rejstříku tu najdete IČO, DIČ i fakturační adresu pro zaslání zásilek.","",""
"kontakt.founder.eyebrow","/kontakt","Slib zakladatele","Eyebrow","Slibujeme jen tohle","",""
"kontakt.founder.quote","/kontakt","Slib zakladatele","Citace","„Když napíšete, odpovíme do druhého rána. Když pošlete dopis, přečteme ho a napíšeme zpátky — rukou, na kartě.“","",""
"kontakt.founder.attr","/kontakt","Slib zakladatele","Atribuce","— Jakub Š., zakladatel","",""
"kontakt.quicklinks.eyebrow","/kontakt","Než nám napíšete","Eyebrow","Než nám napíšete","",""
"kontakt.quicklinks.h2","/kontakt","Než nám napíšete","Nadpis","Možná najdete odpověď rychleji sami.","",""
"kontakt.quicklinks.faq","/kontakt","Než nám napíšete","Odkaz","Časté otázky","",""
"kontakt.quicklinks.jaktofunguje","/kontakt","Než nám napíšete","Odkaz","Jak to funguje","",""
"kontakt.quicklinks.cenik","/kontakt","Než nám napíšete","Odkaz","Ceník","",""
"kontakt.finalcta.eyebrow","/kontakt","Závěrečné CTA","Eyebrow","Začít rovnou","",""
"kontakt.finalcta.heading","/kontakt","Závěrečné CTA","Nadpis","Pošlete jim první otázku v pondělí.","",""
"kontakt.finalcta.lede","/kontakt","Závěrečné CTA","Odstavec","Registrace zabere pět minut. Jednorázově, přístup napořád — bez předplatného.","",""
"kontakt.finalcta.button","/kontakt","Závěrečné CTA","Tlacitko","Založit Vzpomínkář ↗","","vychozi label z PrimaryCta (stranka nepredava vlastni) — sdileny napric webem"
