id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"podminky.meta.titulek","/podminky","Metadata","SEO-titulek","Obchodní podmínky","","SEO titulek — ideal do 60 znaku"
"podminky.meta.popis","/podminky","Metadata","SEO-popis","Pravidla, za kterých Vzpomínkář poskytuje službu sběru rodinných vzpomínek a tisku rodinné kroniky.","","SEO popis — ideal do 155 znaku"
"podminky.hero.eyebrow","/podminky","Hero","Eyebrow","Obchodní podmínky","",""
"podminky.hero.h1","/podminky","Hero","Nadpis","Pravidla, za kterých Vzpomínkář funguje.","",""
"podminky.hero.intro","/podminky","Hero","Podnadpis","Stručně a srozumitelně. Pokud něco není jasné, napište nám — radši to vysvětlíme než aby se kdokoli ocitl v překvapení.","",""
"podminky.hero.updated","/podminky","Hero","Poznamka","Naposledy upraveno · 21. 5. 2026","","datum je vlastnost updatedAt v komponente"
"podminky.kdojsme.h2","/podminky","1. Kdo jsme","Nadpis","1. Kdo jsme","",""
"podminky.kdojsme.body","/podminky","1. Kdo jsme","Odstavec","Provozovatelem služby Vzpomínkář je Vzpomínkář, s. r. o., se sídlem v Praze, IČO bude doplněno před spuštěním placené verze. Kontaktní e-mail najdete na stránce kontakt. Tyto podmínky platí pro každého, kdo si u nás vytvoří účet — ať už jako rodinný správce, nebo jako vyprávějící senior, kterého do služby pozval někdo z rodiny.","","pravni text — pravdepodobne nemenit; obsahuje odkaz na /kontakt"
"podminky.coslzba.h2","/podminky","2. Co služba dělá","Nadpis","2. Co služba dělá","",""
"podminky.coslzba.body","/podminky","2. Co služba dělá","Odstavec","Vzpomínkář pomáhá rodinám sbírat vzpomínky starší generace ve formě krátkých týdenních otázek. Odpovědi (hlasové, psané nebo s fotkou) ukládáme do soukromé rodinné knihovny. Z těchto odpovědí později vznikne tištěná rodinná kronika — teprve tehdy, když ji budete chtít skutečně vytisknout. Online přístup do knihovny vám zůstává trvale, i kdyby ke knize nikdy nedošlo.","","pravni text — pravdepodobne nemenit"
"podminky.ucet.h2","/podminky","3. Účet a registrace","Nadpis","3. Účet a registrace","",""
"podminky.ucet.spravce.h3","/podminky","3. Účet a registrace","Podnadpis","Rodinný správce","",""
"podminky.ucet.spravce.body","/podminky","3. Účet a registrace","Odstavec","Účet rodinného správce je vázán na e-mailovou adresu a heslo. Jeden správce může spravovat jednu rodinu (jednoho vyprávějícího). Zavazujete se uvádět pravdivé údaje a držet přístupové údaje v bezpečí.","","pravni text — pravdepodobne nemenit"
"podminky.ucet.senior.h3","/podminky","3. Účet a registrace","Podnadpis","Senior (vyprávějící)","",""
"podminky.ucet.senior.body","/podminky","3. Účet a registrace","Odstavec","Senior přístup vytváří správce z dashboardu. Senior nikdy nezadává e-mail — přihlašuje se uživatelským jménem a heslem, které mu vytisknete nebo předáte osobně. Heslo lze kdykoliv vygenerovat znovu.","","pravni text — pravdepodobne nemenit"
"podminky.cena.h2","/podminky","4. Cena a platba","Nadpis","4. Cena a platba","",""
"podminky.cena.body","/podminky","4. Cena a platba","Odstavec","Přístup ke službě je placený — jednorázovým poplatkem, který zahrnuje jednoho blízkého a jednu knihu (až 52 otázek) napořád, bez předplatného. Dalšího blízkého nebo další díl pořídíte za zvýhodněnou cenu. Konkrétní cenu uvidíte před potvrzením platby. Bez zaplaceného přístupu nelze sbírat vzpomínky ani vytvářet knihu. První tištěná kniha je součástí jednorázové ceny — objednáte ji, až bude obsah hotový. Případné další výtisky (pro sourozence) jsou volitelný příplatek; cenu uvidíte na stránce ceník a před potvrzením objednávky.","","pravni text — pravdepodobne nemenit; obsahuje odkaz na /cenik"
"podminky.vraceni.h2","/podminky","5. Vrácení peněz","Nadpis","5. Vrácení peněz","",""
"podminky.vraceni.body","/podminky","5. Vrácení peněz","Odstavec","Přístup ke knize a online knihovně je digitální obsah, který zpřístupňujeme ihned po zaplacení. Na jednorázový nákup přístupu neposkytujeme dobrovolnou záruku vrácení peněz. U již zhotovené tištěné knihy (kniha je vyrobena na míru) vrácení peněz nelze nárokovat. Pokud kniha dorazí poškozená nebo s tiskovou chybou, vyrobíme novou na naše náklady.","","pravni text — pravdepodobne nemenit"
"podminky.data.h2","/podminky","6. Vaše data a soukromí","Nadpis","6. Vaše data a soukromí","",""
"podminky.data.body","/podminky","6. Vaše data a soukromí","Odstavec","Vzpomínky, audio a fotky patří vám — jejich vlastníkem zůstává vaše rodina. My data zpracováváme jen proto, abychom službu mohli provozovat. Detaily najdete v samostatném dokumentu Ochrana soukromí. Můžete kdykoliv požádat o export všech dat ve strojově čitelném formátu nebo o jejich smazání. Vyřídíme do 30 dnů.","","pravni text — pravdepodobne nemenit; obsahuje odkaz na /soukromi"
"podminky.odvas.h2","/podminky","7. Co od vás chceme","Nadpis","7. Co od vás chceme","",""
